"tuition","highdeg","sat","type","admission","loan"
17284,"Graduate degree",1005,"Public",93.2,22.79
28378,"Graduate degree",830,"Private nonprofit",68.21,78.24
29090,"Graduate degree",923,"Private nonprofit",63.85,73.47
20211,"Graduate degree",1006,"Public",64.13,59.18
30970,"Graduate degree",1233,"Public",53.66,50.13
20881,"Graduate degree",1017,"Public",64.53,60.99
33358,"Graduate degree",1053,"Private nonprofit",61.73,66.56
33740,"Graduate degree",1034,"Private nonprofit",74.41,71.51
39330,"Graduate degree",1102,"Private nonprofit",67.22,61.88
33417,"Graduate degree",950,"Private nonprofit",85.7,77.11
20486,"Graduate degree",921,"Public",75.42,61.69
47510,"Graduate degree",1240,"Private nonprofit",31.78,11.73
47244,"Graduate degree",1387,"Private nonprofit",20.92,36.15
44000,"Graduate degree",1497,"Private nonprofit",7.05,9.69
15692,"Graduate degree",890,"Public",41.68,72.36
29932,"Graduate degree",1178,"Public",64.68,49.17
23590,"Graduate degree",841,"Private nonprofit",62.5,80.11
40649,"Graduate degree",1258,"Private nonprofit",43.12,46.03
38526,"Graduate degree",1118,"Private nonprofit",60.07,56.93
13800,"Graduate degree",841,"Private nonprofit",65.58,41.99
47343,"Graduate degree",1297,"Private nonprofit",33.08,40.48
44805,"Graduate degree",1398,"Private nonprofit",16.97,28.23
22683,"Graduate degree",1081,"Private nonprofit",49.3,62.53
9700,"Bachelor's degree",1062,"Private nonprofit",42.57,61.05
28160,"Graduate degree",930,"Private nonprofit",46.78,74.24
14410,"Graduate degree",812,"Private nonprofit",66.6,93.69
33600,"Graduate degree",940,"Private nonprofit",77.6,30.05
12470,"Bachelor's degree",970,"Private nonprofit",41.72,78.61
22416,"Graduate degree",1175,"Public",48.94,45.47
17125,"Graduate degree",1026,"Private nonprofit",70.09,59.11
37362,"Bachelor's degree",1138,"Private nonprofit",71.04,70.6
11525,"Bachelor's degree",802,"Private nonprofit",27.32,82.14
31334,"Graduate degree",1105,"Private nonprofit",74.05,59.62
17725,"Graduate degree",947,"Public",45,74.76
17234,"Graduate degree",1039,"Public",47.73,39.96
16180,"Bachelor's degree",1096,"Private nonprofit",49.87,60.73
14490,"Bachelor's degree",1060,"Private nonprofit",58.75,64.41
11830,"Graduate degree",884,"Private nonprofit",13.36,56.68
36020,"Graduate degree",1153,"Private nonprofit",60.45,45.9
18895,"Graduate degree",1154,"Public",43.04,45.6
28580,"Graduate degree",1102,"Private nonprofit",49.89,65.5
21673,"Graduate degree",1212,"Public",56.81,46.5
28541,"Graduate degree",1272,"Public",46.55,35.06
29900,"Graduate degree",1010,"Private nonprofit",47.37,51.16
42852,"Graduate degree",1332,"Private nonprofit",40.44,35.59
20756,"Graduate degree",1143,"Public",53.43,42.42
22130,"Graduate degree",932,"Private nonprofit",51.02,55.29
25430,"Graduate degree",1084,"Private nonprofit",57.46,61.18
25532,"Graduate degree",1061,"Private nonprofit",84.12,55.29
41460,"Graduate degree",1199,"Private nonprofit",58.89,51.77
17324,"Graduate degree",1168,"Public",45.24,47.83
26370,"Graduate degree",904,"Private nonprofit",45.67,59.98
38330,"Graduate degree",1168,"Private nonprofit",59.25,65.66
19986,"Graduate degree",955,"Private nonprofit",59.32,64.01
25772,"Graduate degree",1075,"Private nonprofit",52.21,64.35
9840,"Graduate degree",863,"Private nonprofit",48.47,65.54
18430,"Graduate degree",908,"Private nonprofit",33.78,77.98
21050,"Graduate degree",922,"Private nonprofit",63.77,62.44
19238,"Graduate degree",1062,"Public",48.08,49.31
11516,"Bachelor's degree",897,"Public",70.9,42.47
18226,"Graduate degree",887,"Public",19.92,90.45
13560,"Associate degree",825,"Private nonprofit",40.13,86.99
14847,"Graduate degree",997,"Public",69.98,57.42
17400,"Bachelor's degree",946,"Private nonprofit",53.53,84.42
21100,"Graduate degree",880,"Private nonprofit",56.8,87.96
29090,"Graduate degree",1186,"Private nonprofit",60.32,55.66
23350,"Graduate degree",957,"Private nonprofit",78.29,74.64
13560,"Bachelor's degree",896,"Private nonprofit",51.37,61.91
12246,"Bachelor's degree",940,"Public",82.21,48.54
14915,"Graduate degree",939,"Public",47.7,69.83
15556,"Graduate degree",984,"Public",55.43,60.7
29100,"Graduate degree",1173,"Private nonprofit",57.04,57.65
16800,"Bachelor's degree",935,"Private nonprofit",47.83,63.85
44008,"Graduate degree",1363,"Private nonprofit",26.33,38.68
18640,"Graduate degree",830,"Public",32.73,88.18
29954,"Graduate degree",1352,"Public",54.93,33.87
14797,"Graduate degree",950,"Public",68.03,58.09
26690,"Graduate degree",1126,"Public",67.98,47.74
16137,"Graduate degree",1094,"Public",52,62.23
22936,"Graduate degree",1060,"Public",54.66,58.83
28472,"Graduate degree",1247,"Public",56.08,41.48
9695,"Bachelor's degree",840,"Public",45.29,56.03
15898,"Graduate degree",1068,"Public",56.54,56.46
25690,"Graduate degree",995,"Private nonprofit",58.37,79.86
33120,"Graduate degree",1171,"Private nonprofit",69,68.78
25468,"Bachelor's degree",990,"Private nonprofit",66.84,76
31280,"Graduate degree",1131,"Private nonprofit",55.76,74.55
13332,"Bachelor's degree",778,"Private nonprofit",43.77,88.41
20730,"Graduate degree",1001,"Private nonprofit",61.18,74
18670,"Graduate degree",1013,"Private nonprofit",51.4,54.08
33450,"Graduate degree",1078,"Private nonprofit",65.47,55.47
15176,"Graduate degree",847,"Public",82.99,85.7
19670,"Graduate degree",954,"Private nonprofit",68.07,66.32
24634,"Bachelor's degree",1024,"Private nonprofit",38.02,76.46
16760,"Graduate degree",1123,"Public",77.98,56.44
19000,"Bachelor's degree",1000,"Private nonprofit",49.4,72.63
16610,"Bachelor's degree",939,"Private nonprofit",80.64,31.14
16814,"Graduate degree",1033,"Public",55.22,65.71
19775,"Graduate degree",982,"Private nonprofit",43.39,44.95
15903,"Graduate degree",950,"Public",53.85,66.19
25105,"Bachelor's degree",980,"Private nonprofit",53.65,62.39
20090,"Graduate degree",972,"Private nonprofit",83.59,43.46
18296,"Graduate degree",967,"Public",75.2,45.74
27472,"Graduate degree",1087,"Public",80.09,38.1
20180,"Graduate degree",1005,"Private nonprofit",64.11,44.36
17856,"Bachelor's degree",891,"Public",76.43,31.85
11080,"Bachelor's degree",977,"Private nonprofit",100,66.16
18892,"Graduate degree",1050,"Public",77.66,48.94
19600,"Graduate degree",1070,"Public",65.65,54.23
24055,"Graduate degree",1070,"Private nonprofit",90.5,60.08
16096,"Bachelor's degree",936,"Public",99.77,58.78
26550,"Graduate degree",1079,"Private nonprofit",61.7,64.07
3850,"Bachelor's degree",1036,"Private nonprofit",99.63,25.67
40585,"Graduate degree",1065,"Private nonprofit",71.84,48.35
20720,"Graduate degree",1011,"Private nonprofit",75.95,71.84
18506,"Bachelor's degree",1034,"Private nonprofit",67.99,83.8
29664,"Graduate degree",1163,"Private nonprofit",66.94,67.31
15424,"Graduate degree",892,"Public",28.65,84.95
47514,"Graduate degree",1504,"Private nonprofit",8.81,29.33
27598,"Graduate degree",1030,"Private nonprofit",54.41,78.73
33990,"Graduate degree",1163,"Private nonprofit",59.87,59.15
28124,"Graduate degree",1010,"Public",61.91,66.99
32920,"Graduate degree",1084,"Private nonprofit",71.8,71.56
20060,"Bachelor's degree",1053,"Private nonprofit",67.81,79.31
23612,"Graduate degree",1033,"Private nonprofit",65.7,72.63
18605,"Graduate degree",1019,"Private nonprofit",92.99,3.24
25800,"Graduate degree",1092,"Public",71.4,48.38
25516,"Graduate degree",1030,"Private nonprofit",69.5,58.65
29132,"Graduate degree",1303,"Public",62.39,40.97
39316,"Bachelor's degree",1241,"Private nonprofit",58.38,62.99
27800,"Bachelor's degree",1024,"Private nonprofit",61.29,76.8
40117,"Graduate degree",1252,"Private nonprofit",56.97,45.59
20450,"Graduate degree",1110,"Public",68.92,60.22
27530,"Graduate degree",1045,"Private nonprofit",70.69,83.01
39842,"Graduate degree",1157,"Private nonprofit",57.27,67.07
26780,"Graduate degree",1088,"Private nonprofit",55.87,66.74
24875,"Bachelor's degree",845,"Private nonprofit",89.19,97.78
16050,"Graduate degree",996,"Private nonprofit",68.75,74.96
17500,"Bachelor's degree",850,"Private nonprofit",87.47,71.02
35573,"Graduate degree",1195,"Private nonprofit",91.4,65.67
22400,"Bachelor's degree",964,"Private nonprofit",74.88,83.36
26050,"Graduate degree",1046,"Private nonprofit",62.89,59.46
17030,"Bachelor's degree",1030,"Private nonprofit",86.36,85.42
28644,"Graduate degree",1087,"Private nonprofit",55.12,76.1
31500,"Bachelor's degree",1049,"Private nonprofit",64.31,81.64
32613,"Graduate degree",1125,"Private nonprofit",63.65,69.76
23350,"Graduate degree",1030,"Private nonprofit",52.34,70.99
22072,"Graduate degree",1010,"Public",56.13,66.89
45527,"Graduate degree",1458,"Private nonprofit",15.32,34.56
15348,"Graduate degree",890,"Public",59.81,33.55
29890,"Graduate degree",1105,"Private nonprofit",81.96,70.45
25834,"Graduate degree",1048,"Private nonprofit",88.59,71.7
26710,"Graduate degree",1029,"Private nonprofit",40.97,92.34
26500,"Graduate degree",1035,"Private nonprofit",78.78,67.06
28810,"Graduate degree",1031,"Private nonprofit",59.97,65.66
27970,"Graduate degree",1070,"Private nonprofit",51.41,76.78
28970,"Graduate degree",1010,"Private nonprofit",50.54,78.19
16498,"Graduate degree",1085,"Public",59.77,55.21
24716,"Graduate degree",1032,"Public",78.87,61.09
20610,"Graduate degree",1050,"Public",84.19,60.17
24435,"Bachelor's degree",1053,"Private nonprofit",90.22,75.33
26830,"Graduate degree",1049,"Private nonprofit",93.72,87.43
24890,"Graduate degree",1205,"Private nonprofit",37.4,64.75
15969,"Graduate degree",970,"Public",59.31,70.25
30880,"Graduate degree",1318,"Private nonprofit",68.71,50.68
26280,"Graduate degree",1053,"Private nonprofit",55.45,71.39
24124,"Graduate degree",1053,"Public",60.54,61.39
24970,"Graduate degree",1047,"Private nonprofit",71.58,79.18
34368,"Graduate degree",1212,"Private nonprofit",66.1,58.44
15620,"Graduate degree",855,"Private nonprofit",40,55.59
40640,"Bachelor's degree",1215,"Private nonprofit",61.21,42.77
41450,"Graduate degree",1262,"Private nonprofit",63.7,51.79
30596,"Graduate degree",1147,"Private nonprofit",84.09,54.9
27695,"Bachelor's degree",1010,"Private nonprofit",60.02,77.97
28500,"Graduate degree",1123,"Private nonprofit",55.06,63.14
23970,"Graduate degree",1050,"Private nonprofit",78.84,58.17
31760,"Bachelor's degree",1130,"Private nonprofit",66.73,68.66
25450,"Bachelor's degree",1014,"Private nonprofit",72.31,60.44
24040,"Graduate degree",1054,"Private nonprofit",97.32,71.42
16845,"Graduate degree",996,"Public",83.09,49.84
29571,"Graduate degree",1013,"Public",69.58,53.66
24660,"Graduate degree",1018,"Private nonprofit",84.43,67.15
24860,"Graduate degree",934,"Private nonprofit",72.25,85.35
15553,"Graduate degree",1004,"Public",69.34,54.2
17992,"Graduate degree",910,"Public",83.06,61.21
17778,"Graduate degree",950,"Public",73.55,39.54
17778,"Graduate degree",962,"Public",70.03,40.83
32350,"Graduate degree",1198,"Public",72.17,39.36
17778,"Graduate degree",918,"Public",76.25,45.78
17778,"Graduate degree",950,"Public",79.45,41.33
17778,"Graduate degree",943,"Public",53.81,43.34
27920,"Graduate degree",1017,"Private nonprofit",71.16,91.73
28400,"Graduate degree",1024,"Private nonprofit",57.95,72.65
23628,"Graduate degree",1083,"Private nonprofit",95.15,69.58
44605,"Graduate degree",1450,"Private nonprofit",22.3,41.42
19200,"Graduate degree",988,"Private nonprofit",72.85,13.37
14966,"Graduate degree",975,"Public",60.63,42.91
17105,"Graduate degree",954,"Public",72.18,35.09
42654,"Graduate degree",1310,"Private nonprofit",56.22,57.76
25180,"Graduate degree",981,"Private nonprofit",53.62,79.07
27350,"Graduate degree",998,"Private nonprofit",64.19,57.18
27672,"Graduate degree",895,"Private nonprofit",97.54,73.61
34600,"Bachelor's degree",1141,"Private nonprofit",85.68,61.67
18090,"Certificate degree",940,"Private nonprofit",47.62,85.77
28753,"Graduate degree",1214,"Private nonprofit",87.6,44.75
28850,"Graduate degree",1095,"Private nonprofit",71.57,60.83
33480,"Graduate degree",1158,"Private nonprofit",79.69,60.1
29448,"Graduate degree",1050,"Private nonprofit",69.55,84.21
30700,"Bachelor's degree",1089,"Private nonprofit",65.8,74.83
28000,"Graduate degree",1048,"Private nonprofit",77.52,78.59
35730,"Graduate degree",1166,"Private nonprofit",61.71,71.99
36430,"Bachelor's degree",1182,"Private nonprofit",64.11,73.31
26540,"Graduate degree",1119,"Private nonprofit",75.42,65.1
30889,"Graduate degree",1240,"Private nonprofit",65.95,53.11
25520,"Graduate degree",926,"Private nonprofit",77.42,82.22
15546,"Graduate degree",1028,"Private nonprofit",66.93,57.09
23530,"Graduate degree",969,"Private nonprofit",50.18,69.03
22628,"Graduate degree",979,"Private nonprofit",95.42,71.32
43656,"Bachelor's degree",1357,"Private nonprofit",35.06,41.58
20278,"Graduate degree",1145,"Public",82.52,55.19
25550,"Bachelor's degree",1005,"Private nonprofit",60.12,83.41
26931,"Graduate degree",1208,"Public",80.23,47.22
28852,"Graduate degree",1088,"Private nonprofit",69.03,75.72
37530,"Bachelor's degree",1175,"Private nonprofit",72.12,68.74
25990,"Graduate degree",1050,"Private nonprofit",53.37,79.34
26310,"Graduate degree",1010,"Private nonprofit",68.45,77.4
17181,"Graduate degree",1030,"Public",83.31,61.31
26764,"Bachelor's degree",1095,"Private nonprofit",76.09,70.62
26740,"Graduate degree",1050,"Private nonprofit",96.17,70.51
17970,"Associate degree",1030,"Private nonprofit",37.5,67.49
30999,"Graduate degree",1105,"Private nonprofit",88.02,73.37
24400,"Graduate degree",1010,"Private nonprofit",58.18,70.42
34250,"Bachelor's degree",1077,"Private nonprofit",77.65,68.75
23210,"Graduate degree",926,"Private nonprofit",57.66,80.33
25580,"Graduate degree",1086,"Private nonprofit",86.9,76.34
23900,"Graduate degree",1145,"Private nonprofit",60.57,56.18
23305,"Bachelor's degree",956,"Private nonprofit",58.82,73.13
23500,"Bachelor's degree",1028,"Private nonprofit",64.4,74.2
14800,"Bachelor's degree",970,"Private nonprofit",50.45,74.11
17388,"Graduate degree",1030,"Public",60.69,65.2
12821,"Graduate degree",990,"Public",89.17,39.3
14090,"Graduate degree",954,"Private nonprofit",52.85,76.4
23430,"Graduate degree",977,"Private nonprofit",58.62,73.71
24873,"Graduate degree",1145,"Public",92.28,45.32
23650,"Graduate degree",1079,"Private nonprofit",44.72,35.78
23800,"Graduate degree",1014,"Private nonprofit",53.7,77.22
13642,"Bachelor's degree",1020,"Private nonprofit",59.88,76.19
22891,"Bachelor's degree",1014,"Private nonprofit",86.6,81.05
22290,"Graduate degree",950,"Private nonprofit",72.23,69.36
23964,"Graduate degree",1020,"Private nonprofit",98.88,78.81
15786,"Graduate degree",1010,"Public",78.98,60.36
23170,"Graduate degree",988,"Private nonprofit",47.07,64.4
23886,"Graduate degree",1036,"Private nonprofit",89.68,54.06
21200,"Bachelor's degree",1015,"Private nonprofit",44.05,78.32
22730,"Graduate degree",1017,"Private nonprofit",73.5,76.99
14960,"Graduate degree",1089,"Public",95.76,50.22
10620,"Bachelor's degree",990,"Private nonprofit",45.02,67.27
26076,"Graduate degree",1110,"Private nonprofit",65.73,67.64
34890,"Graduate degree",1116,"Private nonprofit",94.78,57.22
23170,"Bachelor's degree",1113,"Private nonprofit",34.01,22.62
19640,"Graduate degree",1010,"Private nonprofit",45,83.2
22196,"Graduate degree",985,"Private nonprofit",68.44,47.25
36020,"Bachelor's degree",1268,"Private nonprofit",68.57,48.88
20000,"Graduate degree",1019,"Private nonprofit",71.27,58.1
16608,"Graduate degree",1009,"Public",60.02,59.83
32310,"Graduate degree",1085,"Private nonprofit",82.19,72.58
7140,"Bachelor's degree",930,"Private nonprofit",50.75,39.29
15072,"Graduate degree",860,"Public",37.74,67.9
21200,"Bachelor's degree",1019,"Private nonprofit",67.1,90.71
21192,"Graduate degree",1140,"Public",68.61,45.97
17418,"Graduate degree",976,"Private nonprofit",51.36,80.49
23834,"Graduate degree",1142,"Public",71.12,43.23
8673,"Graduate degree",923,"Private nonprofit",70.31,56.26
22150,"Graduate degree",1032,"Private nonprofit",53.81,74.76
18746,"Graduate degree",1028,"Public",84.49,51.1
19164,"Graduate degree",1029,"Public",82.17,49.58
16464,"Graduate degree",1024,"Public",46.7,54.91
17750,"Graduate degree",909,"Private nonprofit",100,71.68
22425,"Graduate degree",952,"Private nonprofit",81.08,70.12
27345,"Graduate degree",1033,"Private nonprofit",87.75,53.57
31560,"Bachelor's degree",1213,"Private nonprofit",96.15,58.29
22000,"Graduate degree",1007,"Private nonprofit",74.16,79.64
22248,"Graduate degree",1009,"Public",92.32,54.13
30740,"Graduate degree",1131,"Private nonprofit",65.97,53.58
16094,"Bachelor's degree",884,"Private nonprofit",35.44,87.07
15118,"Graduate degree",863,"Public",43.63,84.46
9982,"Bachelor's degree",950,"Public",60.74,37.1
25790,"Graduate degree",1162,"Public",76.23,35.32
5606,"Graduate degree",1030,"Public",83.49,32.37
14120,"Graduate degree",968,"Private nonprofit",74.23,58.9
18441,"Graduate degree",1089,"Public",67.44,30.4
36860,"Graduate degree",1143,"Private nonprofit",87.07,58.25
16603,"Graduate degree",1030,"Public",61.51,41.29
19068,"Graduate degree",1072,"Public",50.36,34.76
15959,"Graduate degree",1030,"Public",86.94,49.58
16890,"Graduate degree",1050,"Public",77.24,40.92
16327,"Graduate degree",1007,"Public",84,48.78
10532,"Graduate degree",1010,"Private nonprofit",66.15,65.78
17734,"Graduate degree",1030,"Public",44.8,39.98
8274,"Graduate degree",890,"Public",35.9,74.96
4911,"Graduate degree",808,"Public",48.88,68.03
15742,"Graduate degree",1070,"Public",59.3,37.35
46930,"Graduate degree",1341,"Private nonprofit",26.43,37.02
20560,"Graduate degree",1048,"Private nonprofit",54.43,70.93
45446,"Bachelor's degree",1423,"Private nonprofit",14.95,19.63
9520,"Associate degree",1010,"Private nonprofit",45.45,82.03
45760,"Bachelor's degree",1343,"Private nonprofit",26.04,20.5
15130,"Graduate degree",962,"Private nonprofit",79.89,59.26
17535,"Bachelor's degree",908,"Public",62.93,42.69
19370,"Bachelor's degree",937,"Public",85.4,43.57
27970,"Graduate degree",1085,"Public",81.06,64.05
22770,"Graduate degree",1026,"Public",65.36,79.78
33145,"Graduate degree",1057,"Private nonprofit",85.84,68.68
30990,"Graduate degree",960,"Private nonprofit",77.78,57.58
21280,"Graduate degree",1003,"Public",82.8,58.07
22770,"Graduate degree",895,"Private nonprofit",72.44,58.95
16288,"Graduate degree",940,"Public",72.95,57.68
17538,"Graduate degree",886,"Public",51.76,68.08
22296,"Graduate degree",1042,"Private nonprofit",59.03,53.51
11186,"Graduate degree",880,"Public",35.5,69.43
18376,"Graduate degree",963,"Public",59.45,61.28
33280,"Graduate degree",1030,"Private nonprofit",81.02,73.29
45470,"Graduate degree",1418,"Private nonprofit",18.13,39.18
43250,"Graduate degree",1194,"Private nonprofit",58,54.07
21642,"Graduate degree",1209,"Public",63.15,42.51
28348,"Graduate degree",1310,"Public",46.99,35.81
40890,"Graduate degree",1175,"Private nonprofit",58.03,61.26
15504,"Graduate degree",871,"Public",55.02,69.48
16632,"Graduate degree",893,"Public",57.57,81.05
34644,"Graduate degree",1060,"Private nonprofit",67.41,63.74
32050,"Graduate degree",1036,"Private nonprofit",49.64,53.55
16474,"Graduate degree",1145,"Public",54.94,52.13
28664,"Graduate degree",1221,"Public",72.04,41.35
20020,"Graduate degree",1078,"Public",60.34,50.47
27082,"Graduate degree",990,"Private nonprofit",59.59,60.99
41120,"Graduate degree",1168,"Private nonprofit",66.55,68.72
36960,"Graduate degree",1105,"Private nonprofit",75.87,66.29
30040,"Graduate degree",885,"Private nonprofit",67.79,83.31
46574,"Bachelor's degree",1434,"Private nonprofit",14.28,13.21
43520,"Graduate degree",1258,"Private nonprofit",28.21,37.37
